NTFC_SN,area_ha,n_seo,n_nat,d_seo,d_nat
11000NTC200803201853,0.7927694623642305,1.0,1.0,1.2614007570596348,1.2614007570596348
11710NTC202409260008,10.647315435754651,450.0,390.0,42.26417473167548,36.62895143411875
11410NTC202310300001,1.1481249887580796,99.0,77.0,86.22754575448074,67.06586892015169
11170NTC202305190002,1.8607667654005975,135.0,0.0,72.55073688449953,0.0
11560NTC202306160002,4.500215532062405,151.0,72.0,33.55394845517503,15.99923370048081
11000NTC202306180001,24.440285396356074,1663.0,7.0,68.04339528080736,0.28641236738764375
11000NTC201305316844,0.894291468840438,68.0,0.0,76.0378493693679,0.0
11410NTC202008270018,2.3022654873143393,45.0,0.0,19.545964723857207,0.0
,1.3567107873620246,4.0,3.0,2.9483070653381933,2.211230299003645
11000NTC201812181440,1.0042824771836742,14.0,0.0,13.940300979123352,0.0
11000NTC201405017184,0.2172720309297379,2.0,0.0,9.205050422006531,0.0
11170NTC202208180001,1.7625483457604318,50.0,41.0,28.368016185353518,23.261773271989885
11560NTC202007140005,0.27656233623198156,3.0,2.0,10.847464050504652,7.231642700336434
11000NTC200306214449,7.078128582041949,37.0,35.0,5.227370423006073,4.94480985960034
11000NTC201106306149,0.4414177705971844,5.0,0.0,11.327137992735567,0.0
11305NTC202509290002,6.022552044198794,250.0,3.0,41.51064169562665,0.49812770034751985
11000NTC201101255878,2.6384597117058273,19.0,19.0,7.2011711665349045,7.2011711665349045
11000NTC199507225412,4.779817281306537,23.0,14.0,4.811899419241623,2.9289822551905536
11230NTC202304040005,4.979125763563453,77.0,62.0,15.464562185489518,12.451985136368183
11110NTC202402050004,4.130382845320594,143.0,95.0,34.621487972236764,23.00028921232512
11000NTC202307110007,4.906027504771306,364.0,197.0,74.19444747221569,40.154687230842
11000NTC200603309876,0.9989887589057109,102.0,57.0,102.10325100327502,57.057699090065455
11000NTC202407080002,1.249738983409954,76.0,41.0,60.81269849855487,32.80685050579934
11440NTC202305300002,5.261634861856141,233.0,148.0,44.28281439465088,28.128139615486393
11000NTC201309126934,7.430619915549044,119.0,5.0,16.014814558201927,0.6728913679916776
11000NTC201107296193,6.14195097738429,28.0,23.0,4.558812029451353,3.744738452763612
11000NTC201106236135,3.3755313149822985,297.0,86.0,87.98614863436913,25.477470648335842
11000NTC202108040001,3.571539401492803,140.0,80.0,39.198783566963854,22.399304895407916
11000NTC201501227387,3.0462720370214535,10.0,4.0,3.2827009139268064,1.3130803655707226
11000NTC200311055120,1.4508426884413237,14.0,11.0,9.649564430062743,7.581800623620727
11530NTC202408200001,6.3421566197663575,338.0,314.0,53.29417424769491,49.50997252596509
11650NTC202504150005,0.5067653921772463,19.0,18.0,37.49269443670802,35.51939472951286
11000NTC201801053007,1.0798356507015057,159.0,0.0,147.24462921436893,0.0
11000NTC201504167459,6.393088405704739,87.0,0.0,13.608446259302056,0.0
11170NTC202304250009,6.276930133860769,20.0,5.0,3.1862709275845553,0.7965677318961388
11170NTC202304250009,0.27421217600728987,7.0,0.0,25.52767751572748,0.0
11170NTC202304250009,0.8552128728569355,8.0,4.0,9.354396143822173,4.677198071911087
11740NTC202305120002,2.6548539766532966,145.0,120.0,54.61693986755034,45.20022609728304
11000NTC201012095725,5.019940797321888,96.0,1.0,19.12373150918742,0.1992055365540356
11000NTC200312155382,5.212530304159556,32.0,19.0,6.139053038111695,3.6450627413788186
